Player,Year,Date,Game,Team,TD
Peyton Manning,2013,9/5/13,1,DEN,7
Peyton Manning,2013,9/15/13,2,DEN,2
Peyton Manning,2013,9/23/13,3,DEN,3
Peyton Manning,2013,9/29/13,4,DEN,4
Peyton Manning,2013,10/6/13,5,DEN,4
Peyton Manning,2013,10/13/13,6,DEN,2
Peyton Manning,2013,10/20/13,7,DEN,3
Peyton Manning,2013,10/27/13,8,DEN,4
Peyton Manning,2013,11/10/13,9,DEN,4
Peyton Manning,2013,11/17/13,10,DEN,1
Peyton Manning,2013,11/24/13,11,DEN,2
Peyton Manning,2013,12/1/13,12,DEN,5
Peyton Manning,2013,12/8/13,13,DEN,4
Peyton Manning,2013,12/12/13,14,DEN,2
Peyton Manning,2013,12/22/13,15,DEN,4
Peyton Manning,2013,12/29/13,16,DEN,4
Tom Brady,2007,9/9/07,1,NWE,3
Tom Brady,2007,9/16/07,2,NWE,3
Tom Brady,2007,9/23/07,3,NWE,4
Tom Brady,2007,10/1/07,4,NWE,3
Tom Brady,2007,10/7/07,5,NWE,3
Tom Brady,2007,10/14/07,6,NWE,5
Tom Brady,2007,10/21/07,7,NWE,6
Tom Brady,2007,10/28/07,8,NWE,3
Tom Brady,2007,11/4/07,9,NWE,3
Tom Brady,2007,11/18/07,10,NWE,5
Tom Brady,2007,11/25/07,11,NWE,1
Tom Brady,2007,12/3/07,12,NWE,2
Tom Brady,2007,12/9/07,13,NWE,4
Tom Brady,2007,12/16/07,14,NWE,0
Tom Brady,2007,12/23/07,15,NWE,3
Tom Brady,2007,12/29/07,16,NWE,2
Patrick Mahomes,2018,9/9/18,1,KAN,4
Patrick Mahomes,2018,9/16/18,2,KAN,6
Patrick Mahomes,2018,9/23/18,3,KAN,3
Patrick Mahomes,2018,10/1/18,4,KAN,1
Patrick Mahomes,2018,10/7/18,5,KAN,0
Patrick Mahomes,2018,10/14/18,6,KAN,4
Patrick Mahomes,2018,10/21/18,7,KAN,4
Patrick Mahomes,2018,10/28/18,8,KAN,4
Patrick Mahomes,2018,11/4/18,9,KAN,3
Patrick Mahomes,2018,11/11/18,10,KAN,2
Patrick Mahomes,2018,11/19/18,11,KAN,6
Patrick Mahomes,2018,12/2/18,12,KAN,4
Patrick Mahomes,2018,12/9/18,13,KAN,2
Patrick Mahomes,2018,12/13/18,14,KAN,2
Patrick Mahomes,2018,12/23/18,15,KAN,3
Patrick Mahomes,2018,12/30/18,16,KAN,2