Player,TEAM,ABBREV,DIVISION
Jack Eichel,Buffalo Sabres,BUF,Atlantic
Nikita Kucherov,Tampa Bay Lightning,TBL,Atlantic
Auston Matthews,Toronto Maple Leafs,TOR,Atlantic
David Pastrnak,Boston Bruins,BOS,Atlantic
Steven Stamkos,Tampa Bay Lightning,TBL,Atlantic
John Tavares,Toronto Maple Leafs,TOR,Atlantic
Jeff Skinner,Buffalo Sabres,BUF,Atlantic
Thomas Chabot,Ottawa Senators,OTT,Atlantic
Keith Yandle,Florida Panthers,FLA,Atlantic
Sebastian Aho,Carolina Hurricanes,CAR,Metropolitan
Cam Atkinson,Columbus Blue Jackets,CBJ,Metropolitan
Mathew Barzal,New York Islanders,NYI,Metropolitan
Sidney Crosby,Pittsburgh Penguins,PIT,Metropolitan
Claude Giroux,Philadelphia Flyers,PHI,Metropolitan
Kyle Palmieri,New Jersey Devils,NJD,Metropolitan
John Carlson,Washington Capitals,WSH,Metropolitan
Seth Jones,Columbus Blue Jackets,CBJ,Metropolitan
Kris Letang,Pittsburgh Penguins,PIT,Metropolitan
Patrick Kane,Chicago Blackhawks,CHI,Central
Nathan MacKinnon,Colorado Avalanche,COL,Central
Ryan O'Reilly,St. Louis Blues,STL,Central
Mikko Rantanen,Colorado Avalanche,COL,Central
Mark Scheifele,Winnipeg Jets,WPG,Central
Blake Wheeler,Winnipeg Jets,WPG,Central
Gabriel Landeskog,Colorado Avalanche,COL,Central
Miro Heiskanen,Dallas Stars,DAL,Central
Roman Josi,Nashville Predators,NSH,Central
Johnny Gaudreau,Calgary Flames,CGY,Pacific
Clayton Keller,Arizona Coyotes,ARI,Pacific
Connor McDavid,Edmonton Oilers,EDM,Pacific
Joe Pavelski,San Jose Sharks,SJS,Pacific
Elias Pettersson,Vancouver Canucks,VAN,Pacific
Leon Draisaitl,Edmonton Oilers,EDM,Pacific
Brent Burns,San Jose Sharks,SJS,Pacific
Drew Doughty,Los Angeles Kings,LAK,Pacific
Erik Karlsson,San Jose Sharks,SJS,Pacific